requirement_id,declared_status,scenario_ids,scenario_evidence_status
M-01,deferred-px4-environment,T-01,deferred
M-02,verified-fake,T-01,scenario-evidence-pass
M-03,verified-fake,T-01;T-05,scenario-evidence-pass
HM-01,verified,T-02;T-04;T-06,scenario-evidence-pass
HM-02,verified,T-11,scenario-evidence-pass
HM-03,verified,T-11,scenario-evidence-pass
HM-04,verified,T-02;T-03,scenario-evidence-pass
A-01,verified,T-01;T-10,scenario-evidence-pass
A-02,verified,T-05;T-10,scenario-evidence-pass
A-03,verified,T-04;T-05,scenario-evidence-pass
A-04,verified,T-06;T-07,scenario-evidence-pass
A-05,verified,T-02,scenario-evidence-pass
A-06,verified,T-03,scenario-evidence-pass
A-07,verified,T-09,scenario-evidence-pass
A-08,verified,T-05,scenario-evidence-pass
OD-01,verified-playwright,T-01,scenario-evidence-pass
OD-02,verified-playwright,T-11,scenario-evidence-pass
OD-03,verified-playwright,T-05,scenario-evidence-pass
OD-04,verified-playwright;verified-frontend-unit,T-11,scenario-evidence-pass
OD-05,verified-replay,T-12,scenario-evidence-pass
EV-01,verified,T-01;T-12,scenario-evidence-pass
EV-02,verified,T-12,scenario-evidence-pass
EV-03,verified,T-12,scenario-evidence-pass
EV-04,verified-negative-test,T-12,scenario-evidence-pass
SS-01,verified-unit,T-01,scenario-evidence-pass
SS-02,verified-inspection,T-01,scenario-evidence-pass
SS-03,verified-publication-review,T-01,scenario-evidence-pass
