sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,30.0,NOMINAL
0.5,PREFLIGHT,NOMINAL,NONE,True,0.9,29.925,NOMINAL
1.0,PREFLIGHT,NOMINAL,NONE,True,0.9,29.85,NOMINAL
1.5,PREFLIGHT,NOMINAL,NONE,True,0.9,29.775,NOMINAL
2.0,OUTBOUND,NOMINAL,NONE,True,0.9,29.7,NOMINAL
2.5,OUTBOUND,NOMINAL,NONE,True,0.9,29.625,NOMINAL
3.0,OUTBOUND,NOMINAL,NONE,True,0.9,29.55,NOMINAL
3.5,OUTBOUND,NOMINAL,NONE,True,0.9,29.475,NOMINAL
4.0,OUTBOUND,NOMINAL,NONE,True,0.9,29.4,NOMINAL
4.5,OUTBOUND,NOMINAL,NONE,True,0.9,29.325,NOMINAL
5.0,OUTBOUND,NOMINAL,NONE,True,0.9,29.25,NOMINAL
5.5,OUTBOUND,NOMINAL,NONE,True,0.9,29.175,NOMINAL
6.0,OUTBOUND,NOMINAL,NONE,True,0.9,29.1,NOMINAL
6.5,OUTBOUND,NOMINAL,NONE,True,0.9,29.025,NOMINAL
7.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.95,NOMINAL
7.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.875,NOMINAL
8.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.8,NOMINAL
8.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.725,NOMINAL
9.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.65,NOMINAL
9.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.575,NOMINAL
10.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.5,NOMINAL
10.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.425,NOMINAL
11.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.35,NOMINAL
11.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.275,NOMINAL
12.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.2,NOMINAL
12.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.125,NOMINAL
13.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.05,NOMINAL
13.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.975,NOMINAL
14.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.9,NOMINAL
14.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.825,NOMINAL
15.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.75,NOMINAL
15.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.675,NOMINAL
16.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.6,NOMINAL
16.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.525,NOMINAL
17.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.45,NOMINAL
17.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.375,NOMINAL
18.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.3,NOMINAL
18.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.225,NOMINAL
19.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.15,NOMINAL
19.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.075,NOMINAL
20.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.0,NOMINAL
20.5,OUTBOUND,NOMINAL,NONE,True,0.9,26.925,NOMINAL
21.0,OUTBOUND,NOMINAL,NONE,True,0.9,26.85,NOMINAL
21.5,OUTBOUND,NOMINAL,NONE,True,0.9,26.775,NOMINAL
22.0,OUTBOUND,UNKNOWN,CONTROLLED_LAND,True,0.9,26.7,CRITICAL_INPUT_UNKNOWN
22.5,LANDING,UNKNOWN,CONTROLLED_LAND,True,0.9,26.625,CRITICAL_INPUT_UNKNOWN
23.0,LANDING,UNKNOWN,CONTROLLED_LAND,True,0.9,26.55,CRITICAL_INPUT_UNKNOWN
23.5,LANDING,UNKNOWN,CONTROLLED_LAND,True,0.9,26.475,CRITICAL_INPUT_UNKNOWN
24.0,LANDING,UNKNOWN,CONTROLLED_LAND,True,0.9,26.4,CRITICAL_INPUT_UNKNOWN
24.5,LANDING,UNKNOWN,CONTROLLED_LAND,True,0.9,26.325,CRITICAL_INPUT_UNKNOWN
25.0,SAFE_STOP,UNKNOWN,CONTROLLED_LAND,True,0.9,26.25,CRITICAL_INPUT_UNKNOWN
