sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
0.976,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
1.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
1.5,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
2.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
2.501,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
3.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
3.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
4.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
4.501,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
5.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
5.501,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
6.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
6.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
7.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
7.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
8.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
8.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
9.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
9.501,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
10.004,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
10.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
11.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
11.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
12.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
12.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
13.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
13.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
14.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
14.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
15.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
15.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
16.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
16.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
17.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
17.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
18.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
18.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
19.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
19.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
20.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
20.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
21.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
21.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
22.002,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
22.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
23.001,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
23.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
24.0,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
24.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
25.005,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
25.5,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
26.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
26.506,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
27.017,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
27.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
28.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
28.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
29.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
29.501,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
30.003,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
30.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
31.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
31.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
32.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
32.501,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
33.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
33.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
34.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
34.501,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
35.002,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
35.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
36.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
36.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
37.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
37.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
38.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
38.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
39.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
39.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
40.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
40.501,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
41.001,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
41.499,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
42.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
42.501,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
43.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
43.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
44.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
44.5,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
45.0,DELIVERY,NOMINAL,NONE,True,0.9,60.0,NOMINAL
45.502,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
46.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
46.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
47.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
47.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
48.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
48.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
49.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
49.502,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
50.002,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
50.501,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
51.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
51.501,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
52.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
52.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
53.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
53.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
54.007,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
54.501,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
55.014,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
55.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
56.001,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
56.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
57.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
57.501,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
58.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
58.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
59.001,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
59.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
60.0,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
60.5,RETURNING,NOMINAL,NONE,True,0.9,60.0,NOMINAL
