sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
0.511,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.012,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.514,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
2.015,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
2.516,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
3.015,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
3.516,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.016,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.517,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.018,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.519,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.02,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.521,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.022,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.569,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
8.07,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
8.571,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
