sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
0.502,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
1.002,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
1.503,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL
2.005,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
2.505,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
3.008,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
3.509,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
4.01,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
4.511,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
5.016,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
5.518,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
6.019,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
6.534,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
7.036,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
7.536,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
8.036,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
8.538,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
9.039,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
9.541,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
10.041,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
10.541,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
11.043,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
11.547,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
12.048,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
12.549,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
13.05,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
13.551,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
14.054,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL
