sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
0.501,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.003,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.504,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
2.007,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
2.508,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
3.009,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
3.509,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.01,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.511,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.012,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.513,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.014,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.515,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.016,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.517,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
8.018,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
8.52,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
9.021,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
9.522,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
10.023,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
10.524,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
11.025,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
11.587,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
12.088,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
12.589,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
13.091,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
13.591,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
14.097,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
14.599,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
15.101,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
15.607,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
16.114,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
16.615,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
17.125,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
17.626,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
18.128,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
18.629,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
19.131,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
19.632,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
20.133,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
20.633,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
21.134,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
21.635,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
22.136,OUTBOUND,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,NAVIGATION_INVALID,AIRCRAFT,PENDING,PENDING,PENDING
22.668,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
23.172,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
23.673,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
24.174,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
24.675,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
25.179,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
25.68,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
26.182,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
26.686,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
27.188,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
27.689,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
28.19,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
28.691,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
29.193,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
29.699,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
30.199,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
30.701,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,RETURNED,PENDING,NOT_COMPLETED,UNKNOWN
