sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
0.0,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
0.508,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.009,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
1.51,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
2.01,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
2.51,PREFLIGHT,NOMINAL,NONE,True,0.9,60.0,NOMINAL,LOGISTICS_POINT,PENDING,PENDING,PENDING
3.012,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
3.513,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.014,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
4.514,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.016,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
5.519,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.02,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
6.523,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.024,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
7.525,OUTBOUND,NOMINAL,NONE,True,0.9,60.0,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
