requirement_id,test_ids,hazard_ids,status
M-01,T-01,,verified-px4-sitl
M-02,T-01,,verified-fake
M-03,T-01;T-05,,verified-fake
HM-01,T-02;T-04;T-06,,verified
HM-02,T-11,H-07,verified
HM-03,T-11,H-07,verified
HM-04,T-02;T-03,H-01,verified
A-01,T-01;T-10,H-04,verified
A-02,T-05;T-10,H-04,verified
A-03,T-04;T-05,H-02,verified
A-04,T-06;T-07,H-03,verified
A-05,T-02,H-01,verified
A-06,T-03,H-01,verified
A-07,T-09,H-06,verified
A-08,T-05,H-04,verified
OD-01,T-01,,verified-playwright
OD-02,T-11,H-07,verified-playwright
OD-03,T-05,H-04,verified-playwright
OD-04,T-11,H-07,verified-playwright;verified-frontend-unit
OD-05,T-12,H-08,verified-replay
EV-01,T-01;T-12,,verified
EV-02,T-12,H-08,verified
EV-03,T-12,H-08,verified
EV-04,T-12,H-08,verified-negative-test
SS-01,T-01,H-09,verified-unit
SS-02,T-01,,verified-inspection
SS-03,T-01,,verified-content-audit
